file,line,kind,name,section_num,section,status,reason,recommended_action
RA_AmpLocality.lean,25,structure,CausalDAG,,preamble,native_core,amplitude locality is explicitly listed as genuinely RA-native and all proofs stay inside DAG+BDG structure,keep in native root
RA_AmpLocality.lean,38,def,causal_past,,preamble,native_core,amplitude locality is explicitly listed as genuinely RA-native and all proofs stay inside DAG+BDG structure,keep in native root
RA_AmpLocality.lean,43,def,causal_interval,,preamble,native_core,amplitude locality is explicitly listed as genuinely RA-native and all proofs stay inside DAG+BDG structure,keep in native root
RA_AmpLocality.lean,52,lemma,interval_subset_past,,preamble,native_core,amplitude locality is explicitly listed as genuinely RA-native and all proofs stay inside DAG+BDG structure,keep in native root
RA_AmpLocality.lean,62,lemma,interval_eq_interval_past,,preamble,native_core,amplitude locality is explicitly listed as genuinely RA-native and all proofs stay inside DAG+BDG structure,keep in native root
RA_AmpLocality.lean,77,def,bdg_increment,,preamble,native_core,amplitude locality is explicitly listed as genuinely RA-native and all proofs stay inside DAG+BDG structure,keep in native root
RA_AmpLocality.lean,83,lemma,bdg_increment_depends_on_past_only,,preamble,native_core,amplitude locality is explicitly listed as genuinely RA-native and all proofs stay inside DAG+BDG structure,keep in native root
RA_AmpLocality.lean,113,def,bdg_amplitude,,preamble,native_core,amplitude locality is explicitly listed as genuinely RA-native and all proofs stay inside DAG+BDG structure,keep in native root
RA_AmpLocality.lean,118,def,amplitude_local,,preamble,native_core,amplitude locality is explicitly listed as genuinely RA-native and all proofs stay inside DAG+BDG structure,keep in native root
RA_AmpLocality.lean,127,theorem,bdg_amplitude_locality,,preamble,native_core,amplitude locality is explicitly listed as genuinely RA-native and all proofs stay inside DAG+BDG structure,keep in native root
RA_AmpLocality.lean,144,def,quantum_measure,,preamble,native_candidate_rewrite,"underlying linear-extension invariance is native, but quantum-measure terminology is legacy bridge-facing",rename to extension-order invariant measure/readout
RA_AmpLocality.lean,151,lemma,foldl_mul_perm,,preamble,native_core,amplitude locality is explicitly listed as genuinely RA-native and all proofs stay inside DAG+BDG structure,keep in native root
RA_AmpLocality.lean,171,theorem,bdg_causal_invariance,,preamble,native_candidate_rewrite,"underlying linear-extension invariance is native, but quantum-measure terminology is legacy bridge-facing",rename to extension-order invariant measure/readout
