claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-SIM-MOTIF-ENSEMBLE-001,Large-ensemble causal-severance runs preserve v0.5 semantic predicates while using fast final-state generation,claim,ART-SIM-MOTIF-ENSEMBLE-V051-SOURCE,ra_causal_dag_ensemble.py,python,formal_source,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-001,Large-ensemble causal-severance runs preserve v0.5 semantic predicates while using fast final-state generation,claim,ART-SIM-MOTIF-ENSEMBLE-V051-TESTS,test_v0_5_1_large_ensemble.py,python_test,validates,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-001,Large-ensemble causal-severance runs preserve v0.5 semantic predicates while using fast final-state generation,claim,ART-SIM-MOTIF-ENSEMBLE-V051-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_5_1_LargeEnsemble_Report_May04_2026.md,md,simulation_report,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-001,Large-ensemble causal-severance runs preserve v0.5 semantic predicates while using fast final-state generation,claim,ART-SIM-MOTIF-ENSEMBLE-V051-VALIDATION,validation_unittest_v0_5_1.log,log,validation_log,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-001,Large-ensemble causal-severance runs preserve v0.5 semantic predicates while using fast final-state generation,claim,ART-SIM-MOTIF-ENSEMBLE-V051-BENCHMARK,ra_causal_dag_ensemble_benchmark_v0_5_1.csv,csv,benchmark_output,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-001,Large-ensemble causal-severance runs preserve v0.5 semantic predicates while using fast final-state generation,claim,ART-SIM-MOTIF-ENSEMBLE-V051-AGGREGATE,ra_causal_dag_ensemble_aggregate_v0_5_1.csv,csv,simulation_output,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-001,Large-ensemble causal-severance runs preserve v0.5 semantic predicates while using fast final-state generation,claim,ART-SIM-MOTIF-ENSEMBLE-V051-SUMMARY,ra_causal_dag_ensemble_summary_v0_5_1.csv,csv,simulation_output,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-002,Streaming aggregation supports larger causal-severance ensembles without retaining all evaluation rows,claim,ART-SIM-MOTIF-ENSEMBLE-V051-SOURCE,ra_causal_dag_ensemble.py,python,formal_source,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-002,Streaming aggregation supports larger causal-severance ensembles without retaining all evaluation rows,claim,ART-SIM-MOTIF-ENSEMBLE-V051-TESTS,test_v0_5_1_large_ensemble.py,python_test,validates,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-002,Streaming aggregation supports larger causal-severance ensembles without retaining all evaluation rows,claim,ART-SIM-MOTIF-ENSEMBLE-V051-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_5_1_LargeEnsemble_Report_May04_2026.md,md,simulation_report,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-002,Streaming aggregation supports larger causal-severance ensembles without retaining all evaluation rows,claim,ART-SIM-MOTIF-ENSEMBLE-V051-VALIDATION,validation_unittest_v0_5_1.log,log,validation_log,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-002,Streaming aggregation supports larger causal-severance ensembles without retaining all evaluation rows,claim,ART-SIM-MOTIF-ENSEMBLE-V051-BENCHMARK,ra_causal_dag_ensemble_benchmark_v0_5_1.csv,csv,benchmark_output,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-002,Streaming aggregation supports larger causal-severance ensembles without retaining all evaluation rows,claim,ART-SIM-MOTIF-ENSEMBLE-V051-AGGREGATE,ra_causal_dag_ensemble_aggregate_v0_5_1.csv,csv,simulation_output,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-002,Streaming aggregation supports larger causal-severance ensembles without retaining all evaluation rows,claim,ART-SIM-MOTIF-ENSEMBLE-V051-SUMMARY,ra_causal_dag_ensemble_summary_v0_5_1.csv,csv,simulation_output,,simulation_validated,v0.5.1 large-ensemble optimization artifact,claim,claim_artifact_edge
RA-SIM-MOTIF-ENSEMBLE-METHOD-001,"Large-ensemble optimization is RA-native simulator instrumentation, not a new correspondence target",framing,ART-SIM-MOTIF-ENSEMBLE-V051-REPORT,RA_CausalDAG_MotifCommitSimulator_v0_5_1_LargeEnsemble_Report_May04_2026.md,md,methodological_anchor,,modeling_guardrail_recorded,v0.5.1 large-ensemble guardrail artifact,framing,claim_artifact_edge
