claim_id,claim_name,claim_node_type,artifact_id,filename,artifact_type,relation,source_span,verification_status,notes,node_type,type
RA-SIM-ORIENT-KEYING-001,Member-indexed orientation tokens are a confound candidate in matched-graph extraction,claim,ART-SIM-ORIENT-KEYING-V17-MODULE,ra_orientation_keying_ablation.py,python,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-001,Member-indexed orientation tokens are a confound candidate in matched-graph extraction,claim,ART-SIM-ORIENT-KEYING-V17-TESTS,test_v1_7_orientation_keying_ablation.py,python,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-001,Member-indexed orientation tokens are a confound candidate in matched-graph extraction,claim,ART-SIM-ORIENT-KEYING-V17-README,README_RA_CausalDAG_MotifCommitSimulator_v1_7_OrientationKeyingAblation_May06_2026.md,md,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-001,Member-indexed orientation tokens are a confound candidate in matched-graph extraction,claim,ART-SIM-ORIENT-KEYING-V17-REPORT,RA_CausalDAG_MotifCommitSimulator_v1_7_OrientationKeyingAblation_Report_May06_2026.md,md,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-001,Member-indexed orientation tokens are a confound candidate in matched-graph extraction,claim,ART-SIM-ORIENT-KEYING-V17-VALIDATION,validation_unittest_v1_7.log,log,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-001,Member-indexed orientation tokens are a confound candidate in matched-graph extraction,claim,ART-SIM-ORIENT-KEYING-V17-SPEC,ra_v1_7_specificity_by_keying.csv,csv,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-001,Member-indexed orientation tokens are a confound candidate in matched-graph extraction,claim,ART-SIM-ORIENT-KEYING-V17-PCORR,ra_v1_7_partial_correlation_by_keying.csv,csv,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-001,Member-indexed orientation tokens are a confound candidate in matched-graph extraction,claim,ART-SIM-ORIENT-KEYING-V17-SUMMARY,ra_v1_7_orientation_keying_audit_summary.md,md,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-002,Orientation-specific rescue must survive non-member graph-native keying,claim,ART-SIM-ORIENT-KEYING-V17-MODULE,ra_orientation_keying_ablation.py,python,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-002,Orientation-specific rescue must survive non-member graph-native keying,claim,ART-SIM-ORIENT-KEYING-V17-TESTS,test_v1_7_orientation_keying_ablation.py,python,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-002,Orientation-specific rescue must survive non-member graph-native keying,claim,ART-SIM-ORIENT-KEYING-V17-README,README_RA_CausalDAG_MotifCommitSimulator_v1_7_OrientationKeyingAblation_May06_2026.md,md,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-002,Orientation-specific rescue must survive non-member graph-native keying,claim,ART-SIM-ORIENT-KEYING-V17-REPORT,RA_CausalDAG_MotifCommitSimulator_v1_7_OrientationKeyingAblation_Report_May06_2026.md,md,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-002,Orientation-specific rescue must survive non-member graph-native keying,claim,ART-SIM-ORIENT-KEYING-V17-VALIDATION,validation_unittest_v1_7.log,log,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-002,Orientation-specific rescue must survive non-member graph-native keying,claim,ART-SIM-ORIENT-KEYING-V17-SPEC,ra_v1_7_specificity_by_keying.csv,csv,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-002,Orientation-specific rescue must survive non-member graph-native keying,claim,ART-SIM-ORIENT-KEYING-V17-PCORR,ra_v1_7_partial_correlation_by_keying.csv,csv,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
RA-SIM-ORIENT-KEYING-002,Orientation-specific rescue must survive non-member graph-native keying,claim,ART-SIM-ORIENT-KEYING-V17-SUMMARY,ra_v1_7_orientation_keying_audit_summary.md,md,supports_diagnostic,,packet_local_diagnostic,v1.7 keying-ablation diagnostic; pending canonical sweep.,claim,claim_artifact_edge
